Assignment 2,Midterm 1
1,0.868421053
0.929551602,0.947368421
0.91962736,0.973684211
0.860838311,0.947368421
0.000150621,0
0,0
0.903151526,0.921052632
0.940394098,0.842105263
0.907713079,0.578947368
0.036578045,0.631578947
0.908067452,0.578947368
0.884576363,0.631578947
0.949526931,0.802631579
0.870698175,0.657894737
0.642008253,0.552631579
0.882871894,0.921052632
0.956958746,0.789473684
1,0.921052632
0.962044222,0.631578947
0.828139279,0.973684211
0.704097549,0.736842105
0.789816293,0.526315789
0.975397909,0.894736842
0.881533283,0.763157895
0.935120859,0.789473684
0.899980073,0.368421053
1,0.657894737
0.878849422,0.421052632
0.806870236,0.657894737
0.890441892,0.526315789
1,0.947368421
0.717874152,0.526315789
0.032002216,0.578947368
0.871418647,0.736842105
0.992006972,0.815789474
0.888157295,0.855263158
0.891066871,0.789473684
0.525793402,0.605263158
0.904916651,0.447368421
